,4G,Wi-Fi,Total
0,1326.276188724115,4100.912173509534,5427.188362233649
1,730.4686646136503,2171.402472018098,2901.871136631748
2,932.5498531195988,2520.4922512799144,3453.042104399513
3,795.3374298651736,2375.4846782035966,3170.82210806877
4,1066.6599408353384,2987.584701999455,4054.244642834793
5,1008.4336367831535,3054.4021557931605,4062.835792576314
6,1123.3611405070753,3072.1738804505912,4195.535020957666
7,1037.9370853883217,2786.268607207552,3824.205692595874
8,1423.108093434902,4000.8473482892236,5423.955441724125
9,697.8090519502224,2202.146313225205,2899.9553651754277
10,918.7481028758542,2512.968748002033,3431.7168508778873
11,1182.9105686431828,3622.3935320616984,4805.304100704881
12,1084.074201554034,2917.1220026511123,4001.1962042051464
13,824.3483791605462,2385.7214789630066,3210.069858123553
14,1345.4969487178903,3647.5518999104133,4993.048848628304
15,1351.5430048145547,4050.464354432912,5402.007359247466
16,1238.8339398577405,3479.6906877350634,4718.524627592804
17,826.915275837058,2301.955199407768,3128.8704752448257
18,1399.635697549188,3837.1517685051404,5236.787466054328
19,934.2759202167272,2592.2803936030573,3526.5563138197845
20,1203.315513788643,3768.7989255285556,4972.114439317199
21,1353.3899831232704,3736.353062920284,5089.743046043554
22,1420.7662685063258,4189.952028520958,5610.718297027284
23,882.1118910470641,2472.007565386845,3354.119456433909
24,1306.7130739420575,3419.8651694207074,4726.578243362765
25,1061.090128232057,3218.8548050686377,4279.944933300694
26,1363.8531470268595,3899.851569698691,5263.7047167255505
27,851.7366800070924,2702.512708608577,3554.24938861567
28,1106.3533293764501,3091.505428733233,4197.858758109684
29,734.7877659409817,2049.4777253449006,2784.2654912858825
30,1351.6060530446964,3705.612635080732,5057.218688125428
31,962.1827380194677,2830.355183104415,3792.537921123883
32,823.2483541155136,2399.0035428550186,3222.2518969705325
33,987.0967398195039,2757.638380310146,3744.73512012965
34,818.1380536521694,2376.946013956727,3195.0840676088965
35,1262.6058881389872,3680.0734113067633,4942.67929944575
36,1525.8463545158374,4211.416944710459,5737.263299226296
37,904.677486328255,2922.99732252914,3827.674808857395
38,1383.1071848758133,3694.2407616887017,5077.347946564515
39,1374.1670304291385,3815.227353624841,5189.39438405398
40,1026.7837863055674,3114.596364172118,4141.380150477686
41,1116.3107106426626,3085.298034692538,4201.6087453352
42,804.4727248818751,2528.9074738654253,3333.3801987473007
43,1425.7137675038227,4179.765501015251,5605.479268519074
44,1198.164867222887,3320.450711863252,4518.615579086139
45,1168.6604413814093,3284.123802119414,4452.784243500823
46,1009.0529071016397,3349.6192409889873,4358.672148090627
47,1026.2777114039902,3023.5835656689264,4049.861277072917
48,1257.5726539267891,3784.2543926734566,5041.827046600246
49,1395.8478470822922,3807.3823167319947,5203.230163814287
50,1030.3454667046772,3050.723359411862,4081.068826116539
51,847.9896058570037,2601.0690689663206,3449.0586748233245
52,786.5747244035621,2213.4416697891047,3000.0163941926667
53,748.6389246035893,2293.1322836872055,3041.7712082907947
54,1013.9545011966775,2770.5136967857634,3784.468197982441
55,859.9652337526423,2338.0599882987526,3198.025222051395
56,1281.6505874719628,3781.1264902421008,5062.777077714063
57,1187.0523278169821,3363.319763334506,4550.372091151488
58,1091.6438337899617,3108.1541960928857,4199.798029882848
59,984.1270604288636,2753.106553936514,3737.2336143653774
60,804.3982351955648,2162.268009169301,2966.6662443648656
61,1525.5052972505007,4063.8434379861164,5589.348735236617
62,698.3965302990753,1994.751373205869,2693.147903504944
63,948.8655865283938,2916.93068470662,3865.7962712350136
64,1277.590252300883,3709.3421025949337,4986.932354895816
65,1230.9038775982037,3525.321316579136,4756.225194177339
66,1124.5500421992012,3585.9766517043545,4710.5266939035555
67,1059.288651183289,2937.3084518528112,3996.5971030361
